"question","generated_sql","type","answer","is_valid"
"Doanh thu đã thu tháng 3 của tôi","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 3 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 3","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 3 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 17 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '17 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Quận 4 từ 3000000 đến 5000000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%4%' AND r.price BETWEEN 3000000 AND 5000000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại TWO_BEDROOM ở Quận 4","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%4%' AND r.type = 'TWO_BEDROOM' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng ban công tại Quận 4","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%4%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%ban công%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 3 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 3 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
"Hóa đơn tháng 4 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 4 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Tôi còn nợ hóa đơn tháng 4 không","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 4 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Lịch sử hóa đơn đã thanh toán tháng 4 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.paid_at, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 4 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status = 'PAID' ORDER BY b.paid_at DESC LIMIT 20","SQL","","1"
"Doanh thu đã thu tháng 4 của tôi","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 4 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 4","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 4 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 18 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '18 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Quận 5 từ 3500000 đến 5500000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%5%' AND r.price BETWEEN 3500000 AND 5500000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại SINGLE_ROOM ở Quận 5","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%5%' AND r.type = 'SINGLE_ROOM' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng nội thất tại Quận 5","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%5%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%nội thất%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 4 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 4 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
"Hóa đơn tháng 5 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 5 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Tôi còn nợ hóa đơn tháng 5 không","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 5 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Lịch sử hóa đơn đã thanh toán tháng 5 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.paid_at, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 5 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status = 'PAID' ORDER BY b.paid_at DESC LIMIT 20","SQL","","1"
"Doanh thu đã thu tháng 5 của tôi","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 5 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 5","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 5 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 19 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '19 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Quận 7 từ 4000000 đến 6000000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%7%' AND r.price BETWEEN 4000000 AND 6000000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại SHARED_ROOM ở Quận 7","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%7%' AND r.type = 'SHARED_ROOM' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng wifi tại Quận 7","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%7%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%wifi%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 5 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 5 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
"Hóa đơn tháng 6 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 6 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Tôi còn nợ hóa đơn tháng 6 không","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.deadline, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 6 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 20","SQL","","1"
"Lịch sử hóa đơn đã thanh toán tháng 6 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.paid_at, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 6 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status = 'PAID' ORDER BY b.paid_at DESC LIMIT 20","SQL","","1"
"Doanh thu đã thu tháng 6 của tôi","SELECT SUM(b.total_amount) AS total_revenue, COUNT(b.id) AS total_paid_bills, b.month, b.year FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND b.status = 'PAID' AND b.month = 6 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int GROUP BY b.month, b.year","SQL","","1"
"Danh sách khách nợ tiền tháng 6","SELECT u.full_name AS tenant_name, u.phone_number, r.name AS room_name, p.name AS property_name, b.total_amount, b.status AS bill_status, b.deadline FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND b.month = 6 AND b.year = EXTRACT(YEAR FROM CURRENT_DATE)::int AND b.status IN ('UNPAID','LATE') ORDER BY b.deadline ASC LIMIT 100","SQL","","1"
"Hợp đồng active sắp hết hạn trong 20 ngày","SELECT c.id AS contract_id, c.end_date, (c.end_date::date - CURRENT_DATE) AS days_remaining, u.full_name AS tenant_name, r.name AS room_name, p.name AS property_name FROM contracts c JOIN rooms r ON c.room_id = r.id JOIN properties p ON r.property_id = p.id JOIN users u ON c.tenant_id = u.id WHERE p.landlord_id = USER_ID_PLACEHOLDER AND c.status = 'ACTIVE' AND c.end_date BETWEEN CURRENT_DATE AND (CURRENT_DATE + INTERVAL '20 day') ORDER BY c.end_date ASC LIMIT 100","SQL","","1"
"Tìm phòng ở Quận 10 từ 4500000 đến 6500000","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%10%' AND r.price BETWEEN 4500000 AND 6500000 ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng loại MEZZANINE_ROOM ở Quận 10","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%10%' AND r.type = 'MEZZANINE_ROOM' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Tìm phòng máy lạnh tại Quận 10","SELECT r.id AS room_id, r.name, r.price, r.area, r.type, r.images, p.name AS property_name, p.address, p.district FROM rooms r JOIN properties p ON r.property_id = p.id WHERE r.status = 'AVAILABLE' AND p.status = 'APPROVED' AND p.district LIKE '%10%' AND LOWER(COALESCE(r.amenities,'')) LIKE '%máy lạnh%' ORDER BY r.price ASC LIMIT 10","SQL","","1"
"Giao dịch blockchain tháng 6 của tôi","SELECT b.id AS bill_id, b.month, b.year, b.total_amount, b.status, b.payment_tx_hash, r.name AS room_name FROM bills b JOIN contracts c ON b.contract_id = c.id JOIN rooms r ON c.room_id = r.id WHERE c.tenant_id = USER_ID_PLACEHOLDER AND b.month = 6 AND b.payment_tx_hash IS NOT NULL ORDER BY b.year DESC, b.month DESC LIMIT 30","SQL","","1"
