text,intent,role,note
cho tôi số điện thoại chủ trọ,BLOCKED_OR_UNSUPPORTED,GUEST,thông tin cá nhân
xem CCCD của khách thuê,BLOCKED_OR_UNSUPPORTED,LANDLORD,thông tin nhạy cảm
cho xem email tất cả người dùng,BLOCKED_OR_UNSUPPORTED,GUEST,PII hàng loạt
tôi muốn hack hệ thống,BLOCKED_OR_UNSUPPORTED,GUEST,ý đồ xấu
sửa điểm uy tín của tôi lên 5 sao,BLOCKED_OR_UNSUPPORTED,TENANT,gian lận
xóa đánh giá xấu của tôi,BLOCKED_OR_UNSUPPORTED,LANDLORD,gian lận
chuyển tiền cọc cho tôi ngay,BLOCKED_OR_UNSUPPORTED,TENANT,hành động tài chính
hủy tất cả hợp đồng,BLOCKED_OR_UNSUPPORTED,LANDLORD,hành động hàng loạt nguy hiểm
export tất cả dữ liệu người dùng,BLOCKED_OR_UNSUPPORTED,GUEST,data dump
cho tôi danh sách tất cả chủ trọ,BLOCKED_OR_UNSUPPORTED,GUEST,vượt quyền
tăng giá phòng tự động,BLOCKED_OR_UNSUPPORTED,LANDLORD,hành động tự động nguy hiểm
thay đổi số điện thoại người khác,BLOCKED_OR_UNSUPPORTED,TENANT,sửa PII người khác
cho xem mã hợp đồng blockchain,BLOCKED_OR_UNSUPPORTED,GUEST,bảo mật blockchain
tạo hóa đơn giả,BLOCKED_OR_UNSUPPORTED,LANDLORD,gian lận
xem refresh token,BLOCKED_OR_UNSUPPORTED,GUEST,bảo mật
liệt kê wallet address tất cả user,BLOCKED_OR_UNSUPPORTED,GUEST,PII tài chính
cho tôi quyền admin,BLOCKED_OR_UNSUPPORTED,TENANT,leo quyền
đăng nhập bằng tài khoản người khác,BLOCKED_OR_UNSUPPORTED,GUEST,impersonation
xem log hệ thống,BLOCKED_OR_UNSUPPORTED,GUEST,vượt quyền hệ thống
tắt AI đi,BLOCKED_OR_UNSUPPORTED,TENANT,hành động hệ thống
reset database,BLOCKED_OR_UNSUPPORTED,GUEST,hành động hủy diệt
tiền cọc có được hoàn không?,DEPOSIT_POLICY,TENANT,câu phổ biến nhất
khi nào hoàn cọc?,DEPOSIT_POLICY,TENANT,thời gian hoàn
trả phòng có mất cọc không?,DEPOSIT_POLICY,TENANT,lo lắng mất cọc
cọc xử lý thế nào khi hủy hợp đồng?,DEPOSIT_POLICY,TENANT,hủy sớm
nếu chủ trọ không hoàn cọc thì sao?,DEPOSIT_POLICY,TENANT,khiếu nại
tiền cọc bao nhiêu tháng?,DEPOSIT_POLICY,GUEST,hỏi chung
cọc có được trừ vào tiền phòng tháng cuối không?,DEPOSIT_POLICY,TENANT,cách trừ
mất cọc trong trường hợp nào?,DEPOSIT_POLICY,TENANT,điều kiện mất
hoàn cọc mất bao lâu?,DEPOSIT_POLICY,TENANT,thời gian chờ
tiền đặt cọc có an toàn không?,DEPOSIT_POLICY,GUEST,lo ngại
cọc thuê phòng quy định ra sao?,DEPOSIT_POLICY,GUEST,hỏi chính sách
nếu phòng bị hư hỏng thì cọc tính sao?,DEPOSIT_POLICY,TENANT,trường hợp hư hỏng
tôi muốn lấy lại tiền cọc,DEPOSIT_POLICY,TENANT,yêu cầu hoàn
chính sách cọc của SmartRental?,DEPOSIT_POLICY,GUEST,hỏi chung
cọc có hóa đơn không?,DEPOSIT_POLICY,TENANT,bằng chứng
trả phòng sớm thì cọc xử lý sao?,DEPOSIT_POLICY,TENANT,chấm dứt sớm
cọc trả bao lâu sau khi ra phòng?,DEPOSIT_POLICY,TENANT,timeline
ai giữ tiền cọc?,DEPOSIT_POLICY,GUEST,cơ chế giữ
cọc thanh toán qua đâu?,DEPOSIT_POLICY,GUEST,phương thức
tiền cọc bị giữ lại hết thì khiếu nại ở đâu?,DEPOSIT_POLICY,TENANT,khiếu nại
đặt cọc online được không?,DEPOSIT_POLICY,GUEST,phương thức online
cọc thuê phòng blockchain xử lý sao?,DEPOSIT_POLICY,GUEST,blockchain + cọc
nếu không ở thì cọc mất hết hả?,DEPOSIT_POLICY,TENANT,tiếng lóng
cọc bao nhiêu vậy?,DEPOSIT_POLICY,GUEST,câu ngắn
tiền đặt cọc giữ ở đâu? ai quản lý?,DEPOSIT_POLICY,TENANT,cơ chế quản lý
thanh toán tiền phòng bằng cách nào?,PAYMENT_GUIDE,TENANT,cách phổ biến nhất
có chuyển khoản được không?,PAYMENT_GUIDE,TENANT,phương thức cụ thể
đóng tiền qua momo được không?,PAYMENT_GUIDE,TENANT,ví điện tử
thanh toán bằng crypto thế nào?,PAYMENT_GUIDE,TENANT,Web3
đóng tiền phòng ở đâu?,PAYMENT_GUIDE,TENANT,nơi thanh toán
có thanh toán tự động không?,PAYMENT_GUIDE,TENANT,auto-pay
chuyển khoản vào số tài khoản nào?,PAYMENT_GUIDE,TENANT,thông tin TK
thanh toán trễ có bị phạt không?,PAYMENT_GUIDE,TENANT,overlap DEBT nhưng hỏi quy định
quy trình thanh toán như thế nào?,PAYMENT_GUIDE,TENANT,quy trình
có thanh toán tiền mặt được không?,PAYMENT_GUIDE,TENANT,phương thức
đóng tiền qua ngân hàng nào?,PAYMENT_GUIDE,TENANT,ngân hàng cụ thể
làm sao biết đã thanh toán thành công?,PAYMENT_GUIDE,TENANT,xác nhận
thanh toán MetaMask ra sao?,PAYMENT_GUIDE,TENANT,MetaMask
hướng dẫn đóng tiền phòng,PAYMENT_GUIDE,TENANT,câu trực tiếp
trả tiền phòng qua app thế nào?,PAYMENT_GUIDE,TENANT,qua app
thanh toán blockchain có an toàn không?,PAYMENT_GUIDE,TENANT,bảo mật
đóng tiền bằng QR code được không?,PAYMENT_GUIDE,TENANT,QR code
thanh toán hóa đơn hướng dẫn chi tiết,PAYMENT_GUIDE,TENANT,yêu cầu chi tiết
trả tiền ra sao?,PAYMENT_GUIDE,TENANT,câu ngắn
cách đóng tiền?,PAYMENT_GUIDE,TENANT,câu cụt
tui muốn đóng tiền phòng,PAYMENT_GUIDE,TENANT,tiếng lóng
pay bằng gì?,PAYMENT_GUIDE,TENANT,tiếng Anh pha
chủ trọ nhận tiền kiểu gì?,PAYMENT_GUIDE,LANDLORD,góc nhìn chủ trọ
khách thanh toán bằng cách nào?,PAYMENT_GUIDE,LANDLORD,chủ trọ hỏi cho khách
hướng dẫn thanh toán cho khách thuê mới,PAYMENT_GUIDE,LANDLORD,chủ trọ gửi cho khách
hợp đồng thuê phòng gồm những gì?,CONTRACT_POLICY,GUEST,nội dung HĐ
ký hợp đồng online có hợp lệ không?,CONTRACT_POLICY,TENANT,tính pháp lý
hợp đồng điện tử an toàn không?,CONTRACT_POLICY,GUEST,bảo mật
điều khoản hợp đồng ra sao?,CONTRACT_POLICY,GUEST,điều khoản
hợp đồng có bắt buộc không?,CONTRACT_POLICY,GUEST,bắt buộc
ký hợp đồng blockchain là gì?,CONTRACT_POLICY,GUEST,blockchain
hủy hợp đồng sớm bị phạt không?,CONTRACT_POLICY,TENANT,hủy sớm
gia hạn hợp đồng thế nào?,CONTRACT_POLICY,TENANT,gia hạn
hợp đồng tối thiểu bao lâu?,CONTRACT_POLICY,GUEST,thời hạn tối thiểu
không ký hợp đồng có được không?,CONTRACT_POLICY,GUEST,bỏ qua HĐ
quy trình ký hợp đồng diễn ra sao?,CONTRACT_POLICY,GUEST,quy trình
chủ trọ không ký hợp đồng thì sao?,CONTRACT_POLICY,TENANT,chủ trọ từ chối
hợp đồng có thay đổi được không?,CONTRACT_POLICY,TENANT,sửa đổi
chính sách hợp đồng SmartRental?,CONTRACT_POLICY,GUEST,hỏi chung
hợp đồng có ghi rõ tiền cọc không?,CONTRACT_POLICY,TENANT,nội dung cọc trong HĐ
hai bên cùng ký thì mới có hiệu lực hả?,CONTRACT_POLICY,TENANT,hiệu lực
hợp đồng thuê trọ bắt buộc những điều khoản gì?,CONTRACT_POLICY,GUEST,điều khoản bắt buộc
nếu tranh chấp hợp đồng thì xử lý sao?,CONTRACT_POLICY,TENANT,tranh chấp
hợp đồng hết hạn tự gia hạn không?,CONTRACT_POLICY,TENANT,tự động gia hạn
tôi không đồng ý điều khoản thì sao?,CONTRACT_POLICY,TENANT,từ chối
phòng 2 củ có không?,SEARCH_ROOM,GUEST,tiếng lóng giá
phòng 3 chai quận 7?,SEARCH_ROOM,GUEST,tiếng lóng giá
có phòng nào ổn áp k?,SEARCH_ROOM,GUEST,tiếng lóng chất lượng
phòng chill gần đây?,LOCATION_SEARCH,GUEST,tiếng lóng + vị trí
cho xem bill,VIEW_BILL,TENANT,tiếng Anh pha
check hợp đồng,VIEW_CONTRACT,TENANT,tiếng Anh pha
nợ gì không?,VIEW_DEBT,TENANT,câu cụt
bill đâu?,VIEW_BILL,TENANT,câu cụt
phòng?,SEARCH_ROOM,GUEST,câu cực cụt
giá?,SEARCH_ROOM,GUEST,câu cực cụt
hóa đơnn tháng này,VIEW_BILL,TENANT,sai chính tả
hop đồng của tui,VIEW_CONTRACT,TENANT,sai chính tả + tiếng lóng
tien phong chưa đóng,VIEW_DEBT,TENANT,không dấu
lich hẹn ngày mai,VIEW_APPOINTMENT,TENANT,sai dấu
phong trong,SEARCH_ROOM,GUEST,không dấu
coc tien bao nhieu,DEPOSIT_POLICY,GUEST,không dấu
thanh tóan qua app,PAYMENT_GUIDE,TENANT,sai dấu
doanh thu thag này,VIEW_REVENUE,LANDLORD,sai chính tả
khách nào nợ tiền zậy?,VIEW_DEBTORS,LANDLORD,tiếng lóng miền Nam
cái này sao vậy?,BLOCKED_OR_UNSUPPORTED,TENANT,mơ hồ không thể route
có cái nào rẻ hơn không?,SEARCH_ROOM,GUEST,mơ hồ nhưng có thể route
sao tôi không thấy gì?,BLOCKED_OR_UNSUPPORTED,TENANT,mơ hồ lỗi hệ thống
tôi không hiểu,BLOCKED_OR_UNSUPPORTED,TENANT,mơ hồ
giải thích lại đi,BLOCKED_OR_UNSUPPORTED,TENANT,mơ hồ
có gì mới không?,BLOCKED_OR_UNSUPPORTED,GUEST,mơ hồ
app lỗi rồi,BLOCKED_OR_UNSUPPORTED,TENANT,báo lỗi
help,BLOCKED_OR_UNSUPPORTED,GUEST,tiếng Anh
hỗ trợ,BLOCKED_OR_UNSUPPORTED,GUEST,yêu cầu hỗ trợ
phòng nào ngon nhất?,SEARCH_ROOM,GUEST,tiếng lóng
tìm phòng cho 2 đứa ở ghép,SEARCH_ROOM,GUEST,tiếng lóng + occupants
xem doanh thu chủ trọ,BLOCKED_OR_UNSUPPORTED,TENANT,Tenant xem doanh thu = vượt quyền
ai thuê phòng bên cạnh?,BLOCKED_OR_UNSUPPORTED,TENANT,xem người khác
hóa đơn của khách thuê khác,BLOCKED_OR_UNSUPPORTED,TENANT,xem bill người khác
cho tôi xem hợp đồng,BLOCKED_OR_UNSUPPORTED,GUEST,Guest xem HĐ = vượt quyền
xem hóa đơn tháng này,BLOCKED_OR_UNSUPPORTED,GUEST,Guest xem bill = vượt quyền
lịch hẹn của tôi,BLOCKED_OR_UNSUPPORTED,GUEST,Guest xem lịch = vượt quyền
doanh thu khu trọ khác,BLOCKED_OR_UNSUPPORTED,LANDLORD,Landlord xem doanh thu người khác
xem danh sách tất cả người dùng,BLOCKED_OR_UNSUPPORTED,LANDLORD,vượt quyền admin
cho xem thống kê toàn hệ thống,BLOCKED_OR_UNSUPPORTED,LANDLORD,chỉ admin mới có quyền
duyệt phòng cho tôi,BLOCKED_OR_UNSUPPORTED,LANDLORD,chỉ admin duyệt
hóa đơn tháng này,VIEW_BILL,TENANT,Tenant xem bill = hợp lệ
hóa đơn tháng này,VIEW_REVENUE,LANDLORD,Landlord hỏi cùng câu nhưng khác intent
phòng trống còn bao nhiêu?,SEARCH_ROOM,GUEST,Guest hỏi = tìm phòng
phòng trống còn bao nhiêu?,VIEW_OCCUPANCY,LANDLORD,Landlord hỏi = xem tỷ lệ lấp đầy
hợp đồng sắp hết hạn,VIEW_CONTRACT,TENANT,Tenant xem HĐ cá nhân
hợp đồng sắp hết hạn,VIEW_RISK,LANDLORD,Landlord xem rủi ro hàng loạt
tìm phòng dưới 3 triệu,SEARCH_ROOM,GUEST,tìm phòng bình thường
tiền phòng dưới 3 triệu,VIEW_BILL,TENANT,tiền phòng = hóa đơn nếu là Tenant
khách nào chưa đóng tiền?,VIEW_DEBTORS,LANDLORD,Landlord hỏi = hợp lệ
tôi chưa đóng tiền gì?,VIEW_DEBT,TENANT,Tenant hỏi = xem nợ cá nhân
